source,paraphraser,iteration,ppl,xppl
BigScience,chatgpt,1,2.818146008403361,2.9030987394957983
BigScience,chatgpt,2,2.8544303797468356,2.9367088607594938
BigScience,chatgpt,3,2.8784574468085107,2.9549867021276595
BigScience,dipper,1,2.9010198744769875,3.1190507322175733
BigScience,dipper(high),1,3.6796548117154813,3.843030857740586
BigScience,dipper(high),2,3.7154157949790796,3.8484571129707112
BigScience,dipper(high),3,3.705413179916318,3.8668933054393304
BigScience,dipper(low),1,2.837669979079498,2.9578321129707112
BigScience,dipper(low),2,2.7948483263598325,2.958583943514644
BigScience,dipper(low),3,2.7876569037656904,2.9700575313807533
BigScience,dipper,2,2.8958551255230125,3.15513859832636
BigScience,dipper,3,2.899777719665272,3.1876307531380754
BigScience,original,0,3.033603556485356,2.968553870292887
BigScience,palm,1,2.5168585526315788,2.727487664473684
BigScience,palm,2,2.4700863486842106,2.708950109649123
BigScience,palm,3,2.4640042489035086,2.709943804824561
BigScience,pegasus(full),1,2.9607904027196654,2.9848326359832638
BigScience,pegasus(full),2,2.9668377353556483,3.0176680177824267
BigScience,pegasus(full),3,2.9555439330543933,3.0153308054393304
BigScience,pegasus(slight),1,3.0413833682008367,2.9869900627615062
BigScience,pegasus(slight),2,3.037526150627615,3.0017651673640167
BigScience,pegasus(slight),3,3.0233394351464433,3.000719142259414
Eleuther-AI,chatgpt,1,2.9060507015306123,2.983577806122449
Eleuther-AI,chatgpt,2,2.964423076923077,3.0225160256410257
Eleuther-AI,chatgpt,3,2.9419122409326426,3.0237208549222796
Eleuther-AI,dipper,1,3.0612373737373737,3.2320075757575757
Eleuther-AI,dipper(high),1,3.7485006313131315,3.933001893939394
Eleuther-AI,dipper(high),2,3.7999526515151514,3.908459595959596
Eleuther-AI,dipper(high),3,3.9186230964467006,4.05105744949495
Eleuther-AI,dipper(low),1,3.0782828282828283,3.0723642676767677
Eleuther-AI,dipper(low),2,3.0186237373737375,3.092171717171717
Eleuther-AI,dipper(low),3,2.988873106060606,3.1159248737373737
Eleuther-AI,dipper,2,3.022885101010101,3.273674242424242
Eleuther-AI,dipper,3,3.046953914141414,3.2971906565656566
Eleuther-AI,original,0,3.631234217171717,3.186868686868687
Eleuther-AI,palm,1,2.5941280241935485,2.810777889784946
Eleuther-AI,palm,2,2.558551747311828,2.802503360215054
Eleuther-AI,palm,3,2.5349042338709675,2.793976814516129
Eleuther-AI,pegasus(full),1,3.2405105744949494,3.099984217171717
Eleuther-AI,pegasus(full),2,3.1850931186868685,3.1095525568181817
Eleuther-AI,pegasus(full),3,3.2231790562121208,3.153053977272727
Eleuther-AI,pegasus(slight),1,3.5717329545454546,3.1839488636363638
Eleuther-AI,pegasus(slight),2,3.502722537878788,3.1772411616161618
Eleuther-AI,pegasus(slight),3,3.433120265151515,3.155737058080808
Human,chatgpt,1,2.4529404527559056,2.680056594488189
Human,chatgpt,2,2.5219861660079053,2.7340044466403164
Human,chatgpt,3,2.5375062250996017,2.7501867529880477
Human,dipper,1,2.735107421875,2.97113037109375
Human,dipper(high),1,3.54644775390625,3.72760009765625
Human,dipper(high),2,3.61248779296875,3.77435302734375
Human,dipper(high),3,3.64947509765625,3.7991943359375
Human,dipper(low),1,2.582427978515625,2.75958251953125
Human,dipper(low),2,2.5667724609375,2.77685546875
Human,dipper(low),3,2.576416015625,2.799560546875
Human,dipper,2,2.7366943359375,3.0052490234375
Human,dipper,3,2.7744140625,3.0421142578125
Human,original,0,2.69647216796875,2.71343994140625
Human,palm,1,2.13628285944206,2.56944071888412
Human,palm,2,2.131840128755365,2.561896459227468
