source,key,version_name,binoScore,ppl,xppl
Tsinghua,cmv-258,original,0.7364341020584106,1.484375,2.015625
Eleuther-AI,cmv-258,original,1.1137255430221558,4.4375,3.984375
LLAMA,cmv-258,original,0.865470826625824,1.5078125,1.7421875
OpenAI,cmv-258,original,0.6169154047966003,1.9375,3.140625
BigScience,cmv-258,original,1.0585365295410156,3.390625,3.203125
Human,cmv-258,original,0.970059871673584,2.53125,2.609375
BigScience,cmv-259,original,1.0285714864730835,2.8125,2.734375
LLAMA,cmv-259,original,0.7488584518432617,1.28125,1.7109375
Human,cmv-259,original,0.9878048896789552,2.53125,2.5625
OpenAI,cmv-259,original,0.6925466060638428,1.7421875,2.515625
Eleuther-AI,cmv-259,original,1.1414633989334106,3.65625,3.203125
Tsinghua,cmv-259,original,0.7379032373428345,1.4296875,1.9375
LLAMA,cmv-260,original,0.7718750238418579,1.9296875,2.5
PaLM,cmv-260,original,0.7704917788505554,1.1015625,1.4296875
Tsinghua,cmv-260,original,0.7700729966163635,1.6484375,2.140625
Human,cmv-260,original,0.9738562107086182,2.328125,2.390625
OpenAI,cmv-260,original,0.7103448510169983,1.609375,2.265625
BigScience,cmv-260,original,1.038888931274414,2.921875,2.8125
OpenAI,cmv-261,original,0.7582417726516724,2.15625,2.84375
Human,cmv-261,original,1.020689606666565,2.3125,2.265625
BigScience,cmv-261,original,1.0377358198165894,3.4375,3.3125
Tsinghua,cmv-261,original,0.7883211970329285,1.6875,2.140625
LLAMA,cmv-261,original,0.8284671306610107,1.7734375,2.140625
Human,cmv-262,original,0.957317054271698,2.453125,2.5625
BigScience,cmv-262,original,1.1311475038528442,3.234375,2.859375
Tsinghua,cmv-262,original,0.7028301954269409,1.1640625,1.65625
LLAMA,cmv-262,original,0.7238371968269348,1.9453125,2.6875
Eleuther-AI,cmv-262,original,0.982758641242981,2.671875,2.71875
PaLM,cmv-262,original,0.6681614518165588,1.1640625,1.7421875
OpenAI,cmv-262,original,0.640625,1.6015625,2.5
Human,cmv-263,original,0.9560439586639404,2.71875,2.84375
Eleuther-AI,cmv-263,original,1.207048416137695,4.28125,3.546875
PaLM,cmv-263,original,0.7549019455909729,1.203125,1.59375
LLAMA,cmv-263,original,0.7848837375640869,2.109375,2.6875
Tsinghua,cmv-263,original,0.7685589790344238,1.375,1.7890625
BigScience,cmv-263,original,0.9792746305465698,2.953125,3.015625
OpenAI,cmv-263,original,0.8619047403335571,2.828125,3.28125
