paraphraser,iteration,f1,performance drop from $T^{n-1}$,mean B,var B,ppl,xppl
original,0,0.8020924149956408,0%,0.874,0.0276,2.3187125230688808,2.5920034786285364
chatgpt,1,0.7780569514237856,3%,0.87,0.00915,2.3772459130166563,2.7218104179518816
chatgpt,2,0.7585609016038145,2.51%,0.879,0.00866,2.42815791511772,2.7516215535935564
chatgpt,3,0.7491228070175439,1.24%,0.882,0.00806,2.460688942607611,2.778569479101684
dipper,1,0.8077879038939519,-0.71%,0.87,0.0057,2.5051939191266914,2.866413937576876
dipper,2,0.8071457572066586,0.0795%,0.872,0.00409,2.560508437115621,2.926220883302583
dipper,3,0.8123476848090982,-0.644%,0.875,0.0038,2.6053143978720787,2.968010070725707
dipper(high),1,0.2490566037735849,68.9%,0.95,0.00259,3.585250422816728,3.770290398216482
dipper(high),2,0.2457680250783699,1.32%,0.959,0.00427,3.6455192307692306,3.7992197109471095
dipper(high),3,0.2711656441717791,-10.3%,0.961,0.00515,3.690971153846154,3.8414197032595325
dipper(low),1,0.8231349538977368,-2.62%,0.844,0.015,2.2509813672386225,2.6349434002152523
dipper(low),2,0.8153338829348722,0.948%,0.842,0.0123,2.2589872578413286,2.656540686500615
dipper(low),3,0.8228105906313645,-0.917%,0.842,0.011,2.2760428678474787,2.682618388683887
palm,1,0.8200400801603206,-2.24%,0.796,0.0151,2.039362980769231,2.5400230111768574
palm,2,0.8286852589641435,-1.05%,0.797,0.0142,2.0504225127583937,2.5489991359447006
palm,3,0.8324066719618745,-0.449%,0.797,0.0123,2.0493828434610304,2.5510057174702774
pegasus(full),1,0.8063274903805044,-0.528%,0.883,0.0134,2.3575564903876924,2.6351298076923078
pegasus(full),2,0.7950043066322137,1.4%,0.887,0.0116,2.3943293269292307,2.6661177884615386
pegasus(full),3,0.7869281045751634,1.02%,0.893,0.0109,2.4354729567261537,2.693389423076923
pegasus(slight),1,0.800349497597204,0.217%,0.882,0.0233,2.3583804197416973,2.621876921894219
pegasus(slight),2,0.8074588031222897,-0.888%,0.885,0.0201,2.379159699797048,2.642539687115621
pegasus(slight),3,0.8082901554404145,-0.103%,0.887,0.0181,2.3877433598585487,2.6511761992619927
