source,paraphraser,iteration,ppl,xppl
BigScience,chatgpt,1,2.8459347035794185,2.9130313199105147
BigScience,chatgpt,2,2.869188904494382,2.929634831460674
BigScience,chatgpt,3,2.880301966292135,2.9346558988764047
BigScience,dipper,1,2.952880859375,3.16162109375
BigScience,dipper(high),1,3.6465890066964284,3.798060825892857
BigScience,dipper(high),2,3.7737862723214284,3.890659877232143
BigScience,dipper(high),3,3.8137904575892856,3.935546875
BigScience,dipper(low),1,2.8789760044642856,2.9993373325892856
BigScience,dipper(low),2,2.8520682198660716,3.0145438058035716
BigScience,dipper(low),3,2.833164760044643,3.0189383370535716
BigScience,dipper,2,2.9456961495535716,3.1953822544642856
BigScience,dipper,3,2.9379708426339284,3.2188197544642856
BigScience,original,0,3.103184291294643,3.0241524832589284
BigScience,palm,1,2.54056151241535,2.7358034706546275
BigScience,palm,2,2.4648702031602707,2.6947305304740405
BigScience,palm,3,2.4381348758465013,2.688663939051919
BigScience,pegasus(full),1,3.0123203822544644,3.0343191964285716
BigScience,pegasus(full),2,3.0031171526116074,3.0522286551339284
BigScience,pegasus(full),3,3.008632114955357,3.0705740792410716
BigScience,pegasus(slight),1,3.1002022879464284,3.0334298270089284
BigScience,pegasus(slight),2,3.0859462193080356,3.032924107142857
BigScience,pegasus(slight),3,3.0803658621651784,3.032470703125
Eleuther-AI,chatgpt,1,2.969327910958904,2.9983304794520547
Eleuther-AI,chatgpt,2,2.994376717032967,3.026356456043956
Eleuther-AI,chatgpt,3,3.0132575757575757,3.0381370523415976
Eleuther-AI,dipper,1,3.1564207650273226,3.298796106557377
Eleuther-AI,dipper(high),1,3.785946038251366,3.920594262295082
Eleuther-AI,dipper(high),2,3.8809340846994536,4.0072575136612025
Eleuther-AI,dipper(high),3,3.9199325478142075,4.065018784153006
Eleuther-AI,dipper(low),1,3.149718237704918,3.1330686475409837
Eleuther-AI,dipper(low),2,3.0880293715846996,3.151767418032787
Eleuther-AI,dipper(low),3,3.0577826161202184,3.167541837431694
Eleuther-AI,dipper,2,3.12786031420765,3.3551912568306013
Eleuther-AI,dipper,3,3.1278176229508197,3.3826417349726774
Eleuther-AI,original,0,3.7099129098360657,3.2668630464480874
Eleuther-AI,palm,1,2.567887190934066,2.79985834478022
Eleuther-AI,palm,2,2.4972375690607733,2.7725958218232045
Eleuther-AI,palm,3,2.471490849447514,2.752525034530387
Eleuther-AI,pegasus(full),1,3.335297131147541,3.1924948770491803
Eleuther-AI,pegasus(full),2,3.299591231202186,3.209453978825137
Eleuther-AI,pegasus(full),3,3.3347394766120217,3.2546213285519126
Eleuther-AI,pegasus(slight),1,3.630912739071038,3.2571507855191255
Eleuther-AI,pegasus(slight),2,3.594817281420765,3.2654542349726774
Eleuther-AI,pegasus(slight),3,3.547664788251366,3.263212943989071
Human,chatgpt,1,2.6056356837606836,2.810413327991453
Human,chatgpt,2,2.6454429871520344,2.8343315042826553
Human,chatgpt,3,2.668548387096774,2.8500336021505377
Human,dipper,1,2.8351315789473683,3.1213980263157897
Human,dipper(high),1,3.697828947368421,3.8717105263157894
Human,dipper(high),2,3.7786842105263156,3.9090131578947367
Human,dipper(high),3,3.8488486842105263,3.963421052631579
Human,dipper(low),1,2.721842105263158,2.955032894736842
Human,dipper(low),2,2.701792763157895,2.9751480263157895
Human,dipper(low),3,2.704605263157895,2.9964967105263156
Human,dipper,2,2.881842105263158,3.1893092105263157
Human,dipper,3,2.912203947368421,3.2392105263157895
Human,original,0,2.942236842105263,2.9482565789473685
Human,palm,1,2.2046163232104123,2.6394726138828633
Human,palm,2,2.1884066567245117,2.624406860086768
Human,palm,3,2.166714682754881,2.6157131236442517
Human,pegasus(full),1,2.8683429276210526,3.0188980263157896
Human,pegasus(full),2,2.8948190789473682,3.065016447368421
Human,pegasus(full),3,2.9190871710526314,3.0955098684210527
Human,pegasus(slight),1,2.952121710526316,2.9907730263157895
Human,pegasus(slight),2,2.951957236842105,3.008782894736842
Human,pegasus(slight),3,2.9428042763157896,3.024769736842105
LLAMA,chatgpt,1,2.227115672657952,2.598771105664488
LLAMA,chatgpt,2,2.271689069323144,2.623720660480349
LLAMA,chatgpt,3,2.311206483004386,2.646141721491228
LLAMA,dipper,1,2.3272897543196542,2.7277352186825055
LLAMA,dipper(high),1,3.509989200863931,3.7001214902807775
LLAMA,dipper(high),2,3.5931762958963285,3.744397948164147
LLAMA,dipper(high),3,3.6339767818574513,3.7796976241900646
LLAMA,dipper(low),1,2.018265726241901,2.505171773758099
LLAMA,dipper(low),2,2.0695447489200864,2.5481236501079914
LLAMA,dipper(low),3,2.1051059665226783,2.572134854211663
LLAMA,dipper,2,2.4246254049676024,2.81594222462203
LLAMA,dipper,3,2.4809159017278617,2.8659725971922247
LLAMA,original,0,1.9757356911447084,2.4522138228941683
LLAMA,palm,1,1.9043443018763797,2.470026214128035
LLAMA,palm,2,1.8955703297350994,2.4499430877483444
LLAMA,palm,3,1.921818576377778,2.467604166666667
LLAMA,pegasus(full),1,2.1221652267818576,2.5084115145788335
LLAMA,pegasus(full),2,2.170132795637149,2.533266401187905
LLAMA,pegasus(full),3,2.199353739200864,2.5523251889848813
LLAMA,pegasus(slight),1,2.050300350971922,2.4994937904967602
LLAMA,pegasus(slight),2,2.0945177510799136,2.523378442224622
LLAMA,pegasus(slight),3,2.1331499730021597,2.547389646328294
OpenAI,chatgpt,1,2.2842725951374208,2.805463794926004
OpenAI,chatgpt,2,2.2906050955414012,2.827096602972399
OpenAI,chatgpt,3,2.365192819148936,2.8509807180851063
OpenAI,dipper,1,2.6826542721518987,3.183494857594937
OpenAI,dipper(high),1,3.7587025316455698,3.9137658227848102
OpenAI,dipper(high),2,3.8589135021097047,4.001021888185654
OpenAI,dipper(high),3,3.9651898734177213,4.06942246835443
OpenAI,dipper(low),1,2.238610891350211,2.986534150843882
OpenAI,dipper(low),2,2.3009131065400843,3.014388844936709
OpenAI,dipper(low),3,2.3395305907172994,3.0321894778481013
OpenAI,dipper,2,2.777772283755274,3.24518723628692
OpenAI,dipper,3,2.8747527689873418,3.3265756856540083
OpenAI,original,0,2.1636504483122363,2.785337552742616
OpenAI,palm,1,1.8481043695887447,2.60354099025974
OpenAI,palm,2,1.8929602581521738,2.609544836956522
OpenAI,palm,3,1.886625339673913,2.5982167119565216
OpenAI,pegasus(full),1,2.3538081817088607,2.8972755142405062
OpenAI,pegasus(full),2,2.4649467629324895,2.9720711366033754
OpenAI,pegasus(full),3,2.5315425567088607,3.0201410864978904
OpenAI,pegasus(slight),1,2.2227386603375527,2.8183511339662446
OpenAI,pegasus(slight),2,2.2685505669831225,2.8487111023206753
OpenAI,pegasus(slight),3,2.3035914425105486,2.8676242747890295
PaLM,chatgpt,1,2.5949500132415255,2.9888688426906778
PaLM,chatgpt,2,2.6222963110403397,3.004030652866242
PaLM,chatgpt,3,2.6669547872340424,3.0270445478723405
PaLM,dipper,1,2.7554414393432203,3.2394729872881354
PaLM,dipper(high),1,3.9044292902542375,4.025820974576271
PaLM,dipper(high),2,3.9723748675847457,4.0970603813559325
PaLM,dipper(high),3,3.9654657643312103,4.09034030720339
PaLM,dipper(low),1,2.430080607775424,2.9749404131355934
PaLM,dipper(low),2,2.49853515625,3.0695428363347457
PaLM,dipper(low),3,2.5610692945550846,3.1323366326906776
PaLM,dipper,2,2.895760229088983,3.360699152542373
PaLM,dipper,3,3.0102932170338983,3.4547098450847455
PaLM,original,0,2.298882032929936,2.672214314088983
PaLM,palm,1,2.3444256813006397,2.9246506030063966
PaLM,palm,2,2.3306263890732755,2.912928087952586
PaLM,palm,3,2.3261476714008618,2.92351032125
PaLM,pegasus(full),1,2.6073099124203822,3.033054157838983
PaLM,pegasus(full),2,2.7485196058811043,3.1443202131779664
PaLM,pegasus(full),3,2.8033418756687896,3.21923828125
PaLM,pegasus(slight),1,2.421149316581741,2.8142627780720337
PaLM,pegasus(slight),2,2.497047505307856,2.902592028601695
PaLM,pegasus(slight),3,2.5471196589808915,2.9660851430084745
Tsinghua,chatgpt,1,2.2661164587852496,2.674061144251627
Tsinghua,chatgpt,2,2.3318783967391306,2.7061990489130436
Tsinghua,chatgpt,3,2.3615025871459694,2.7229711328976034
Tsinghua,dipper,1,2.1875465029653682,2.623926204004329
Tsinghua,dipper(high),1,3.461394074675325,3.6805160984848486
Tsinghua,dipper(high),2,3.557832792207792,3.7419845779220777
Tsinghua,dipper(high),3,3.6220407196969697,3.756713338744589
Tsinghua,dipper(low),1,1.8766952448701297,2.39160579004329
Tsinghua,dipper(low),2,1.91969781521645,2.4135298295454546
Tsinghua,dipper(low),3,1.9564267112987015,2.453437838203463
Tsinghua,dipper,2,2.276887175324675,2.695413961038961
Tsinghua,dipper,3,2.348510213744589,2.764153814935065
Tsinghua,original,0,1.828234916103896,2.351169338484848
Tsinghua,palm,1,1.8475234717982456,2.422217653508772
Tsinghua,palm,2,1.8860276442307693,2.474542839978022
Tsinghua,palm,3,1.9111478365274726,2.490985576923077
Tsinghua,pegasus(full),1,1.8986298532467532,2.3100818452380953
Tsinghua,pegasus(full),2,1.9243100649350648,2.310077617683983
Tsinghua,pegasus(full),3,1.9424081777272728,2.3116544913419914
Tsinghua,pegasus(slight),1,1.8865792410606061,2.3834635416666665
Tsinghua,pegasus(slight),2,1.9253965435714284,2.4000355113636362
Tsinghua,pegasus(slight),3,1.9565535375974028,2.4096235795454546
