paraphraser,iteration,f1,performance drop from $T^{n-1}$,mean B,var B,ppl,xppl
original,0,0.7489616982002769,0%,0.9,0.0244,2.536679675134536,2.770273561117089
chatgpt,1,0.7132803632236095,4.76%,0.892,0.00962,2.527051868044515,2.821970637917329
chatgpt,2,0.703771849126035,1.33%,0.897,0.00954,2.560343839684311,2.844990632971939
chatgpt,3,0.677853935239896,3.68%,0.904,0.00868,2.595706871403453,2.8622722186700766
dipper,1,0.764882226980728,-2.13%,0.879,0.00634,2.685176028477848,3.044187598892405
dipper,2,0.7570694087403599,1.02%,0.88,0.00514,2.7504209108006332,3.1164507515822786
dipper,3,0.7515541264737406,0.729%,0.882,0.00475,2.8042582451550633,3.174084627177215
dipper(high),1,0.2581461562796583,65.5%,0.956,0.00477,3.6786713805379745,3.8431640625
dipper(high),2,0.2763363551109721,-7.05%,0.964,0.00834,3.7713286194620252,3.9111402294303796
dipper(high),3,0.2966153846153846,-7.34%,0.968,0.00934,3.8222934472934473,3.9489542128164556
dipper(low),1,0.7860504920838682,-4.95%,0.856,0.0143,2.4509629647943036,2.8413456784018987
dipper(low),2,0.784991568296796,0.135%,0.853,0.0116,2.470360091971519,2.876498219936709
dipper(low),3,0.7918930213121604,-0.879%,0.853,0.0102,2.490313025363924,2.903559508506329
palm,1,0.8096184419713831,-8.1%,0.807,0.0164,2.166990459353282,2.653106964385457
palm,2,0.8238782368056928,-1.76%,0.806,0.0149,2.1542289443269853,2.645263829486766
palm,3,0.8260015710919089,-0.258%,0.805,0.0143,2.150306852025848,2.6458302832180935
pegasus(full),1,0.7501683501683502,-0.161%,0.896,0.0133,2.5755551474992084,2.8466351859177217
pegasus(full),2,0.7398557258791705,1.37%,0.898,0.0125,2.6226103741278886,2.889550781246835
pegasus(full),3,0.7273552780930761,1.69%,0.9,0.0117,2.6562098122412157,2.9233905261075948
pegasus(slight),1,0.7508045977011494,-0.246%,0.902,0.0209,2.5751473963216207,2.814673160601266
pegasus(slight),2,0.7553628480146052,-0.607%,0.903,0.0187,2.5992668516555875,2.841940268987342
pegasus(slight),3,0.7568671963677639,-0.199%,0.904,0.0172,2.6145783871478314,2.861260136471519
