source,paraphraser,iteration,ppl,xppl
BigScience,chatgpt,1,2.8657971398305087,2.871270303672316
BigScience,chatgpt,2,2.566765445402299,2.8428071120689653
BigScience,chatgpt,3,2.5870824353448274,2.8545932112068964
BigScience,dipper,1,2.6344572368421053,3.1043542243767313
BigScience,dipper(high),1,3.709141274238227,3.85595567867036
BigScience,dipper(high),2,3.7755799861495847,3.9044754155124655
BigScience,dipper(high),3,3.8885907202216066,3.9830765235457064
BigScience,dipper(low),1,2.2330873441828256,2.7674645083102494
BigScience,dipper(low),2,2.239904345567867,2.78185595567867
BigScience,dipper(low),3,2.2536181505373962,2.8012465373961217
BigScience,dipper,2,2.7355436288088644,3.1991646468144044
BigScience,dipper,3,2.8157894736842106,3.2957063711911356
BigScience,original,0,2.2579210069444446,2.6740234375
BigScience,palm,1,2.6826090040223463,2.71197407472067
BigScience,palm,2,2.3978065747752813,2.6949997805617976
BigScience,palm,3,2.231784759358289,2.6974014037433154
BigScience,pegasus(full),1,2.5814685768698062,2.9370022506925206
BigScience,pegasus(full),2,2.749253376038781,3.064307046398892
BigScience,pegasus(full),3,2.8249329120498614,3.119102752770083
BigScience,pegasus(slight),1,2.3192196156509697,2.727817693905817
BigScience,pegasus(slight),2,2.393211132271468,2.7777116516620497
BigScience,pegasus(slight),3,2.443299861495845,2.8166551246537397
Eleuther-AI,chatgpt,1,3.200394825268817,3.148605510752688
Eleuther-AI,chatgpt,2,2.6967825940860215,2.92372311827957
Eleuther-AI,chatgpt,3,2.6957325268817205,2.929561491935484
Eleuther-AI,dipper,1,2.6544535427807485,3.083347259358289
Eleuther-AI,dipper(high),1,3.698445855614973,3.867897727272727
Eleuther-AI,dipper(high),2,3.756851604278075,3.848345588235294
Eleuther-AI,dipper(high),3,3.7789104278074865,3.9224598930481283
Eleuther-AI,dipper(low),1,2.3070270721925135,2.7872660427807485
Eleuther-AI,dipper(low),2,2.3211898395721926,2.821524064171123
Eleuther-AI,dipper(low),3,2.326620989304813,2.827957887700535
Eleuther-AI,dipper,2,2.7255598262032086,3.1591326871657754
Eleuther-AI,dipper,3,2.7837149064171123,3.2313252005347595
Eleuther-AI,original,0,2.4115767045454546,2.712650401069519
Eleuther-AI,palm,1,3.157981418918919,3.047043918918919
Eleuther-AI,palm,2,2.587593410326087,2.807447350543478
Eleuther-AI,palm,3,2.264548788265306,2.71859056122449
Eleuther-AI,pegasus(full),1,2.6581926804812834,2.964572192513369
Eleuther-AI,pegasus(full),2,2.851541610962567,3.107620320855615
Eleuther-AI,pegasus(full),3,2.8918156751336896,3.1383063168449197
Eleuther-AI,pegasus(slight),1,2.400150401069519,2.734939004010695
Eleuther-AI,pegasus(slight),2,2.4813669786096257,2.800363469251337
Eleuther-AI,pegasus(slight),3,2.5497994652406417,2.854654077540107
Human,chatgpt,1,2.7321693157327585,2.8863483297413794
Human,chatgpt,2,2.53562027537797,2.837439254859611
Human,chatgpt,3,2.559447713744589,2.8580560064935066
Human,dipper,1,2.6232666533970277,3.0813428874734607
Human,dipper(high),1,3.731024416135881,3.87755440552017
Human,dipper(high),2,3.7541467622080678,3.899648354564756
Human,dipper(high),3,3.806213508492569,3.9510682059447984
Human,dipper(low),1,2.267246384012739,2.789925026539278
Human,dipper(low),2,2.267333466029724,2.807167263800425
Human,dipper(low),3,2.289902219341826,2.826217489384289
Human,dipper,2,2.712463508492569,3.1807490711252653
Human,dipper,3,2.7840449177282376,3.2510615711252653
Human,original,0,2.2787204750530785,2.696067210721868
