paraphraser,iteration,f1,performance drop from $T^{n-1}$,mean B,var B,ppl,xppl
original,0,0.8370131481022078,0%,0.866,0.0277,2.384262674356223,2.718471980060801
chatgpt,1,0.8008970844754548,4.31%,0.869,0.0116,2.4591999751176257,2.8120730410785377
chatgpt,2,0.7701863354037267,3.83%,0.879,0.0109,2.5145679476659373,2.842972169037199
chatgpt,3,0.7785269709543569,-1.08%,0.882,0.0101,2.5376486600620893,2.8616576880934987
dipper,1,0.8138830654553925,2.76%,0.859,0.00619,2.6775269820343226,3.108037070968895
dipper,2,0.8105263157894737,0.412%,0.861,0.00432,2.7508323650339648,3.1907708035395066
dipper,3,0.8094696107443661,0.13%,0.862,0.00419,2.8092124374329637,3.253692572398999
dipper(high),1,0.2232973576479344,73.3%,0.959,0.00378,3.7174057863353593,3.875525116195924
dipper(high),2,0.2609949531362653,-16.9%,0.964,0.00585,3.756781819806936,3.8947421344297464
dipper(high),3,0.2995440196422308,-14.8%,0.965,0.00796,3.8282395609799713,3.9669958884519128
dipper(low),1,0.8304843304843305,0.78%,0.83,0.016,2.3469125681515908,2.8064667500893816
dipper(low),2,0.8319327731092437,-0.174%,0.824,0.0129,2.3422622871612444,2.8224311203968537
dipper(low),3,0.8319926453688807,-0.0072%,0.824,0.0118,2.3531945848780835,2.8376832320343226
palm,1,0.8489892984542212,-1.43%,0.828,0.0205,2.252413079564902,2.691563463107324
palm,2,0.8566046621144338,-0.897%,0.823,0.019,2.233646926684842,2.687868473965831
palm,3,0.8776276276276276,-2.45%,0.811,0.0174,2.1974084685526156,2.6837775528021646
pegasus(full),1,0.7897567221510884,5.65%,0.901,0.0158,2.733828935019664,3.003357391848409
pegasus(full),2,0.74424755355726,5.76%,0.913,0.013,2.8748463755809794,3.120607738201645
pegasus(full),3,0.722117202268431,2.97%,0.921,0.0124,2.953115918948498,3.1782010014306152
pegasus(slight),1,0.8267066766691673,1.23%,0.879,0.024,2.4762552511619593,2.785675779853414
pegasus(slight),2,0.8193013319929631,0.896%,0.888,0.022,2.548820443779049,2.84084370530926
pegasus(slight),3,0.8067056134112268,1.54%,0.894,0.0199,2.608318482974616,2.887849984358241
