source,paraphraser,iteration,ppl,xppl
BigScience,chatgpt,1,2.8002510387811634,2.8202042936288088
BigScience,chatgpt,2,2.814685768698061,2.8218923130193905
BigScience,chatgpt,3,2.8333189058171744,2.843490304709141
BigScience,dipper,1,2.980819993188011,3.2062755449591283
BigScience,dipper(high),1,3.7342898501362396,3.8860269073569484
BigScience,dipper(high),2,3.76954189373297,3.894116144414169
BigScience,dipper(high),3,3.8224625340599454,3.9658974795640325
BigScience,dipper(low),1,2.841727690735695,2.9696014986376023
BigScience,dipper(low),2,2.8244635558583107,2.9845878746594003
BigScience,dipper(low),3,2.8330211171662127,3.0126873297002725
BigScience,dipper,2,2.9735609673024523,3.228840258855586
BigScience,dipper,3,3.01162295640327,3.271457765667575
BigScience,original,0,2.969856948228883,2.87099795640327
BigScience,palm,1,2.598684210526316,2.699727319944598
BigScience,palm,2,2.547516897808989,2.6777234023876404
BigScience,palm,3,2.510736607142857,2.66171875
BigScience,pegasus(full),1,3.0271095878746594,2.998403440054496
BigScience,pegasus(full),2,3.0887687329700273,3.073431113760218
BigScience,pegasus(full),3,3.0786678303814714,3.07806113760218
BigScience,pegasus(slight),1,2.9997019754768393,2.9035677792915533
BigScience,pegasus(slight),2,3.0075783378746594,2.924216621253406
BigScience,pegasus(slight),3,3.025821696185286,2.9517626021798367
Eleuther-AI,chatgpt,1,2.871956168831169,2.869952313311688
Eleuther-AI,chatgpt,2,2.913961038961039,2.8947595373376624
Eleuther-AI,chatgpt,3,2.912611970684039,2.9058428338762217
Eleuther-AI,dipper,1,3.2177483974358974,3.4372495993589745
Eleuther-AI,dipper(high),1,3.93467047275641,4.123197115384615
Eleuther-AI,dipper(high),2,3.9213241185897436,4.07011217948718
Eleuther-AI,dipper(high),3,3.9638671875,4.104216746794871
Eleuther-AI,dipper(low),1,3.0100160256410255,3.1190905448717947
Eleuther-AI,dipper(low),2,2.967372796474359,3.1419270833333335
Eleuther-AI,dipper(low),3,2.974033453525641,3.1777844551282053
Eleuther-AI,dipper,2,3.2135416666666665,3.492588141025641
Eleuther-AI,dipper,3,3.2156700721153846,3.5120693108974357
Eleuther-AI,original,0,3.3216646634615383,2.9474659455128207
Eleuther-AI,palm,1,2.651016135620915,2.7715992647058822
Eleuther-AI,palm,2,2.5696592809364547,2.7460022993311037
Eleuther-AI,palm,3,2.546927966101695,2.7492319915254235
Eleuther-AI,pegasus(full),1,3.2158829126602564,3.115547375801282
Eleuther-AI,pegasus(full),2,3.295191055705128,3.2188126001602564
Eleuther-AI,pegasus(full),3,3.345471504423077,3.2772686298076925
Eleuther-AI,pegasus(slight),1,3.284442608173077,2.992412860576923
Eleuther-AI,pegasus(slight),2,3.277331229967949,3.03466796875
Eleuther-AI,pegasus(slight),3,3.28505608974359,3.100360576923077
Human,chatgpt,1,2.7350552440633247,2.8475222625329817
Human,chatgpt,2,2.7299727182539684,2.863033234126984
Human,chatgpt,3,2.7862929894179893,2.888909556878307
Human,dipper,1,3.080374672774869,3.38964332460733
Human,dipper(high),1,3.884039594240838,4.025196335078534
Human,dipper(high),2,3.9364365183246073,4.030104712041885
Human,dipper(high),3,4.032027159685864,4.165453206806283
Human,dipper(low),1,2.780227421465969,3.111481511780105
Human,dipper(low),2,2.787508180628272,3.1390502290575917
Human,dipper(low),3,2.805403304973822,3.1769060863874348
Human,dipper,2,3.1033417866492146,3.431160013089005
Human,dipper,3,3.1634489528795813,3.508589659685864
Human,original,0,2.7354384816753927,2.838514397905759
Human,palm,1,2.498108552631579,2.7800370065789473
Human,palm,2,2.474179376657825,2.7667025862068964
Human,palm,3,2.4555416666666665,2.7669166666666665
Human,pegasus(full),1,2.9562745418848166,3.119109947643979
Human,pegasus(full),2,3.0832787958115184,3.255992310209424
Human,pegasus(full),3,3.142746850445026,3.3223781086387434
Human,pegasus(slight),1,2.819883017015707,2.9200957133507854
Human,pegasus(slight),2,2.8835078534031413,2.9915125981675392
Human,pegasus(slight),3,2.911853730366492,3.039614692408377
LLAMA,chatgpt,1,2.2362799657534245,2.5745719178082194
LLAMA,chatgpt,2,2.278567135989011,2.588641826923077
LLAMA,chatgpt,3,2.3106275826446283,2.6045540633608817
LLAMA,dipper,1,2.4792158018867925,2.8899932614555257
LLAMA,dipper(high),1,3.6849309299191373,3.8408018867924527
LLAMA,dipper(high),2,3.6819407008086253,3.817806603773585
LLAMA,dipper(high),3,3.712390498652291,3.8855289757412397
LLAMA,dipper(low),1,2.1193248820754715,2.6146184299191373
LLAMA,dipper(low),2,2.173275353773585,2.657302897574124
LLAMA,dipper(low),3,2.2167494946091644,2.684467654986523
LLAMA,dipper,2,2.561152291105121,2.9505138140161726
LLAMA,dipper,3,2.642435983827493,3.016025101078167
LLAMA,original,0,2.0047485680592994,2.470497809973046
LLAMA,palm,1,1.9972143954918034,2.5035220286885247
LLAMA,palm,2,1.995877935082873,2.5111576312154695
LLAMA,palm,3,2.000855863764045,2.517841467696629
LLAMA,pegasus(full),1,2.277385865902965,2.6432888308625335
LLAMA,pegasus(full),2,2.3817280154986524,2.7206136287061993
LLAMA,pegasus(full),3,2.4235438426684635,2.752842823450135
LLAMA,pegasus(slight),1,2.0877063679245285,2.5256064690026956
LLAMA,pegasus(slight),2,2.1383823281671157,2.5555298180592994
LLAMA,pegasus(slight),3,2.193111944070081,2.5977299528301887
OpenAI,chatgpt,1,2.2849300986842107,2.692249177631579
OpenAI,chatgpt,2,2.2788034539473685,2.6954152960526314
OpenAI,chatgpt,3,2.3610402960526318,2.722594572368421
OpenAI,dipper,1,2.737471292650919,3.226213910761155
OpenAI,dipper(high),1,3.8361220472440944,3.979248687664042
OpenAI,dipper(high),2,3.902467105263158,3.9984416010498687
OpenAI,dipper(high),3,3.956692913385827,4.088705708661418
