paraphraser,iteration,f1,performance drop from $T^{n-1}$,mean B,var B,ppl,xppl
original,0,0.7520420070011669,0%,0.898,0.0232,2.4506588200695583,2.701657758797054
chatgpt,1,0.6783042394014963,9.81%,0.913,0.00935,2.519481231928955,2.7496030824039654
chatgpt,2,0.6595275590551181,2.77%,0.916,0.00925,2.537999508891646,2.760448976426799
chatgpt,3,0.6228328426561989,5.56%,0.924,0.00868,2.58287846647351,2.7832548634105962
dipper,1,0.7463019815796819,0.763%,0.883,0.00587,2.8285006009615383,3.1977419189852703
dipper,2,0.7330138144911192,1.78%,0.886,0.00535,2.883573291734861,3.2524597867225857
dipper,3,0.717904924565898,2.06%,0.889,0.0052,2.9484116075081834,3.315420097688216
dipper(high),1,0.2411230388109,67.9%,0.96,0.00497,3.805173582685223,3.9641660699672667
dipper(high),2,0.2656886715566422,-10.2%,0.97,0.00692,3.846672891936144,3.9671133387888706
dipper(high),3,0.3380934002315708,-27.3%,0.965,0.0104,3.8897363441080195,4.036159983633388
dipper(low),1,0.7759827679052235,-3.18%,0.854,0.0112,2.492481587561375,2.9074071706219313
dipper(low),2,0.7822387662855623,-0.806%,0.853,0.00938,2.518500345233224,2.943132416121113
dipper(low),3,0.7800320341697811,0.282%,0.855,0.00864,2.549620882774141,2.977089939648118
palm,1,0.7958796421794524,-5.83%,0.845,0.0146,2.2437127475961938,2.6355510770045507
palm,2,0.8062770562770563,-1.31%,0.84,0.0136,2.2242579108095635,2.632335688443792
palm,3,0.8080260303687635,-0.217%,0.837,0.0128,2.2164433419881306,2.6348956125476897
pegasus(full),1,0.7209715639810427,4.13%,0.91,0.0124,2.6570203815466447,2.9058807922463177
pegasus(full),2,0.6801815431164902,5.66%,0.916,0.0116,2.7685387044844516,3.008776276084288
pegasus(full),3,0.6609177702494611,2.83%,0.918,0.0115,2.8199374984042556,3.0557831359942713
pegasus(slight),1,0.7395156526875369,1.67%,0.904,0.0197,2.5163218596563013,2.758726728723404
pegasus(slight),2,0.7359716479621973,0.479%,0.907,0.0175,2.5633183306055645,2.8047961845335516
pegasus(slight),3,0.7292589312075584,0.912%,0.908,0.0158,2.6063606024959083,2.85056995448036
