source,paraphraser,iteration,ppl,xppl
BigScience,chatgpt,1,2.9945591517857144,3.0556640625
BigScience,chatgpt,2,3.0208099775784754,3.0901065022421523
BigScience,chatgpt,3,3.0400084080717487,3.1144548766816142
BigScience,dipper,1,3.0201426630434782,3.2169157608695653
BigScience,dipper(high),1,3.5520040760869565,3.703770380434783
BigScience,dipper(high),2,3.650611413043478,3.7798573369565216
BigScience,dipper(high),3,3.7297554347826085,3.8317255434782607
BigScience,dipper(low),1,2.9673233695652175,3.058186141304348
BigScience,dipper(low),2,2.946569293478261,3.0873471467391305
BigScience,dipper(low),3,2.942000679347826,3.1005349864130434
BigScience,dipper,2,3.01875,3.2622282608695654
BigScience,dipper,3,3.0112092391304346,3.2713994565217392
BigScience,original,0,3.1636209239130433,3.0936141304347826
BigScience,palm,1,2.7612276133040936,2.894120065789474
BigScience,palm,2,2.715348160660661,2.8826013513513513
BigScience,palm,3,2.7086270960365852,2.880216272865854
BigScience,pegasus(full),1,3.004551630434783,3.0488790760869566
BigScience,pegasus(full),2,2.970009531590414,3.035858353747277
BigScience,pegasus(full),3,2.976783769063181,3.059729881546841
BigScience,pegasus(slight),1,3.1554177989130436,3.0947605298913046
BigScience,pegasus(slight),2,3.141202445652174,3.092255434782609
BigScience,pegasus(slight),3,3.126375679347826,3.0919582201086957
Eleuther-AI,chatgpt,1,3.233775958466454,3.1948382587859423
Eleuther-AI,chatgpt,2,3.2918006430868165,3.2394995980707395
Eleuther-AI,chatgpt,3,3.288359123794212,3.251105305466238
Eleuther-AI,dipper,1,3.2747023809523808,3.389732142857143
Eleuther-AI,dipper(high),1,3.64796626984127,3.7904265873015874
Eleuther-AI,dipper(high),2,3.8092157643312103,3.903720238095238
Eleuther-AI,dipper(high),3,3.916765873015873,4.011706349206349
Eleuther-AI,dipper(low),1,3.316758897568254,3.2578869047619046
Eleuther-AI,dipper(low),2,3.248693266368254,3.25222594247619
Eleuther-AI,dipper(low),3,3.2455667162539683,3.2813244047619046
Eleuther-AI,dipper,2,3.236656746031746,3.4264384920634923
Eleuther-AI,dipper,3,3.208407738095238,3.4328373015873015
Eleuther-AI,original,0,3.8943948412698415,3.48953373015873
Eleuther-AI,palm,1,2.9192708333333335,3.005345394736842
Eleuther-AI,palm,2,2.8526041666666666,2.9852777777777777
Eleuther-AI,palm,3,2.851456925675676,2.993137668918919
Eleuther-AI,pegasus(full),1,3.466300843269841,3.2734002976190477
Eleuther-AI,pegasus(full),2,3.400720292579618,3.2779782046178343
Eleuther-AI,pegasus(full),3,3.4354597929936306,3.3141390077707005
Eleuther-AI,pegasus(slight),1,3.8317212301587302,3.4585193452380953
Eleuther-AI,pegasus(slight),2,3.782142857142857,3.4341641865079366
Eleuther-AI,pegasus(slight),3,3.7549727182539683,3.4326636904761907
Human,chatgpt,1,2.681847327213823,2.8604042926565874
Human,chatgpt,2,2.7247869318181817,2.895106195887446
Human,chatgpt,3,2.7567912581699345,2.922572848583878
Human,dipper,1,2.8861607142857144,3.105943496801706
Human,dipper(high),1,3.4479944029850746,3.6143057036247335
Human,dipper(high),2,3.5046974946695095,3.658215618336887
Human,dipper(high),3,3.549207089552239,3.6951958955223883
Human,dipper(low),1,2.7764442297441363,2.9345932169509594
Human,dipper(low),2,2.7822994402985075,2.957456023454158
Human,dipper(low),3,2.7825326492537314,2.9697328091684434
Human,dipper,2,2.909981343283582,3.1555836886993602
Human,dipper,3,2.912446695095949,3.173007729211087
Human,original,0,2.918193630063966,2.9598380863539444
Human,palm,1,2.3181089743589745,2.6677255036630036
Human,palm,2,2.321441302281369,2.671785884030418
Human,palm,3,2.3031309865900385,2.6606202107279695
Human,pegasus(full),1,2.8802055570362475,3.0072627931769724
Human,pegasus(full),2,2.843229444307036,2.9954274386993602
Human,pegasus(full),3,2.8289287379957355,2.9837753198294243
Human,pegasus(slight),1,2.9388076359275055,2.98757329424307
Human,pegasus(slight),2,2.951784048507463,3.0066464552238807
Human,pegasus(slight),3,2.9462536647121533,3.013559434968017
LLAMA,chatgpt,1,2.2314055429864252,2.6499929298642533
LLAMA,chatgpt,2,2.299886621315193,2.6957553854875282
LLAMA,chatgpt,3,2.3619376423690204,2.7440382972665147
LLAMA,dipper,1,2.209849575109649,2.6403851425438596
LLAMA,dipper(high),1,3.274962308114035,3.4992118969298245
LLAMA,dipper(high),2,3.3904708059210527,3.5763774671052633
LLAMA,dipper(high),3,3.4309039199561404,3.6146175986842106
LLAMA,dipper(low),1,1.9040484511842104,2.424830386513158
LLAMA,dipper(low),2,1.950937371504386,2.450023985745614
LLAMA,dipper(low),3,1.9985051740570177,2.491159539473684
LLAMA,dipper,2,2.3186249314692984,2.71716522752193
LLAMA,dipper,3,2.3623989172149122,2.7571871573464914
LLAMA,original,0,1.8487441748903508,2.407337924890351
LLAMA,palm,1,1.8546985444345236,2.463500976547619
LLAMA,palm,2,1.9148104111782478,2.4948782099697886
LLAMA,palm,3,1.9379356971076924,2.532235576923077
LLAMA,pegasus(full),1,2.0196940104166665,2.414079632675439
LLAMA,pegasus(full),2,2.0348435786622807,2.388427734364035
LLAMA,pegasus(full),3,2.0641147546491228,2.3976665296052633
LLAMA,pegasus(slight),1,1.9386564555921053,2.447325589364035
LLAMA,pegasus(slight),2,1.9766909950657894,2.4509834155701755
LLAMA,pegasus(slight),3,2.014665570175439,2.4570997807017543
OpenAI,chatgpt,1,2.456645654506438,3.01475321888412
OpenAI,chatgpt,2,2.4379084967320264,3.009837962962963
OpenAI,chatgpt,3,2.5406147652838427,3.0603848253275108
OpenAI,dipper,1,2.746251998933902,3.209121801705757
OpenAI,dipper(high),1,3.5437766524520256,3.7137859808102345
