source,key,version_name,binoScore,ppl,xppl
LLAMA,wp-471,original,0.7312138676643372,1.9765625,2.703125
OpenAI,wp-471,original,0.7303030490875244,1.8828125,2.578125
Tsinghua,wp-471,original,0.7605633735656738,1.6875,2.21875
Human,wp-471,original,1.0239521265029907,2.671875,2.609375
BigScience,wp-471,original,1.0666667222976685,3.5,3.28125
Tsinghua,wp-472,original,0.7136752009391785,1.3046875,1.828125
LLAMA,wp-472,original,0.7006579041481018,1.6640625,2.375
Human,wp-472,original,1.0,2.734375,2.734375
Eleuther-AI,wp-472,original,1.1343283653259275,4.75,4.1875
BigScience,wp-472,original,1.0047847032546997,3.28125,3.265625
OpenAI,wp-472,original,0.7298387289047241,1.4140625,1.9375
BigScience,wp-473,original,0.976190447807312,3.203125,3.28125
LLAMA,wp-473,original,0.7700534462928772,2.25,2.921875
PaLM,wp-473,original,0.662162184715271,1.53125,2.3125
Tsinghua,wp-473,original,0.7349397540092468,1.90625,2.59375
OpenAI,wp-473,original,0.7351351380348206,2.125,2.890625
Human,wp-473,original,0.9905213117599488,3.265625,3.296875
BigScience,wp-474,original,0.96517413854599,3.03125,3.140625
LLAMA,wp-474,original,0.7248322367668152,1.6875,2.328125
OpenAI,wp-474,original,0.6184971332550049,1.671875,2.703125
Tsinghua,wp-474,original,0.7088607549667358,1.75,2.46875
Eleuther-AI,wp-474,original,1.1271185874938965,4.15625,3.6875
Human,wp-474,original,0.9941176176071168,2.640625,2.65625
LLAMA,wp-475,original,0.7386363744735718,1.5234375,2.0625
OpenAI,wp-475,original,0.8104838728904724,1.5703125,1.9375
BigScience,wp-475,original,1.0788177251815796,3.421875,3.171875
Tsinghua,wp-475,original,0.5887096524238586,0.42773438,0.7265625
PaLM,wp-475,original,0.6895604133605957,0.98046875,1.421875
Human,wp-475,original,0.943181812763214,2.59375,2.75
Tsinghua,wp-476,original,0.6984732747077942,1.4296875,2.046875
BigScience,wp-476,original,1.0648648738861084,3.078125,2.890625
Human,wp-476,original,0.9340101480484008,2.875,3.078125
LLAMA,wp-476,original,0.7612903118133545,1.84375,2.421875
OpenAI,wp-476,original,0.7528089880943298,2.09375,2.78125
Human,wp-477,original,1.0064102411270142,2.453125,2.4375
BigScience,wp-477,original,1.0484848022460938,2.703125,2.578125
Tsinghua,wp-477,original,0.905940592288971,2.859375,3.15625
LLAMA,wp-477,original,0.7080292105674744,1.515625,2.140625
Eleuther-AI,wp-477,original,1.0314135551452637,3.078125,2.984375
OpenAI,wp-477,original,0.8920454382896423,2.453125,2.75
OpenAI,wp-478,original,0.5943775177001953,2.3125,3.890625
Eleuther-AI,wp-478,original,0.9375,3.28125,3.5
BigScience,wp-478,original,1.015463948249817,3.078125,3.03125
Tsinghua,wp-478,original,0.7116564512252808,1.8125,2.546875
LLAMA,wp-478,original,0.7118644118309021,0.984375,1.3828125
Human,wp-478,original,0.9292452931404114,3.078125,3.3125
Tsinghua,wp-479,original,0.7248322367668152,1.6875,2.328125
OpenAI,wp-479,original,0.7885462641716003,2.796875,3.546875
LLAMA,wp-479,original,0.8034682273864746,2.171875,2.703125
Eleuther-AI,wp-479,original,1.1237623691558838,3.546875,3.15625
Human,wp-479,original,1.0329670906066897,2.9375,2.84375
BigScience,wp-479,original,1.056410312652588,3.21875,3.046875
Tsinghua,wp-480,original,0.715624988079071,1.7890625,2.5
Eleuther-AI,wp-480,original,1.090909123420715,4.5,4.125
OpenAI,wp-480,original,0.7239263653755188,1.84375,2.546875
LLAMA,wp-480,original,0.7545454502105713,1.9453125,2.578125
Human,wp-480,original,0.9200000166893004,2.875,3.125
BigScience,wp-480,original,0.9558823704719543,3.046875,3.1875
BigScience,wp-481,original,1.0939226150512695,3.09375,2.828125
Eleuther-AI,wp-481,original,1.13043475151062,4.46875,3.953125
Tsinghua,wp-481,original,0.6984732747077942,0.71484375,1.0234375
OpenAI,wp-481,original,0.7383720874786377,1.984375,2.6875
Human,wp-481,original,1.0112359523773191,2.8125,2.78125
LLAMA,wp-481,original,0.7013422846794128,1.6328125,2.328125
OpenAI,wp-482,original,0.7534246444702148,2.578125,3.421875
Human,wp-482,original,0.9862385392189026,3.359375,3.40625
BigScience,wp-482,original,0.9716981053352356,3.21875,3.3125
LLAMA,wp-482,original,0.7122641801834106,0.58984375,0.828125
PaLM,wp-482,original,0.5982142686843872,1.5703125,2.625
Eleuther-AI,wp-482,original,1.073170781135559,4.125,3.84375
BigScience,wp-483,original,1.0205128192901611,3.109375,3.046875
OpenAI,wp-483,original,0.9856459498405457,3.21875,3.265625
Tsinghua,wp-483,original,0.6590909361839294,0.79296875,1.203125
LLAMA,wp-483,original,0.7781955003738403,1.6171875,2.078125
Human,wp-483,original,1.024752497673035,3.234375,3.15625
Human,wp-484,original,0.9950494766235352,3.140625,3.15625
Tsinghua,wp-484,original,0.7962962985038757,2.015625,2.53125
LLAMA,wp-484,original,0.9061224460601808,3.46875,3.828125
Eleuther-AI,wp-484,original,1.1151078939437866,4.84375,4.34375
OpenAI,wp-484,original,0.9430894255638124,3.625,3.84375
BigScience,wp-484,original,1.0678733587265017,3.6875,3.453125
LLAMA,wp-485,original,0.7570621371269226,2.09375,2.765625
OpenAI,wp-485,original,0.8069307208061218,2.546875,3.15625
Tsinghua,wp-485,original,0.7063491940498352,1.390625,1.96875
Human,wp-485,original,0.9897959232330322,3.03125,3.0625
BigScience,wp-485,original,1.0646766424179075,3.34375,3.140625
Eleuther-AI,wp-485,original,1.1194030046463013,3.515625,3.140625
Tsinghua,wp-486,original,0.6911764740943909,1.1015625,1.59375
OpenAI,wp-486,original,0.9021739363670348,2.59375,2.875
PaLM,wp-486,original,0.6891191601753235,1.0390625,1.5078125
BigScience,wp-486,original,0.9521276354789734,2.796875,2.9375
Human,wp-486,original,0.9591836929321288,2.203125,2.296875
LLAMA,wp-486,original,0.7607142925262451,1.6640625,2.1875
BigScience,wp-487,original,1.0349345207214355,3.703125,3.578125
Eleuther-AI,wp-487,original,1.211267590522766,4.03125,3.328125
Tsinghua,wp-487,original,0.7272727489471436,2.0,2.75
Human,wp-487,original,1.0840708017349243,3.828125,3.53125
OpenAI,wp-487,original,0.7901785969734192,2.765625,3.5
LLAMA,wp-487,original,0.7822085618972778,1.9921875,2.546875
Eleuther-AI,wp-488,original,1.1055046319961548,3.765625,3.40625
Human,wp-488,original,0.929729700088501,2.6875,2.890625
OpenAI,wp-488,original,0.729411780834198,1.9375,2.65625
BigScience,wp-488,original,1.037037014961243,3.0625,2.953125
LLAMA,wp-488,original,0.768750011920929,1.921875,2.5
Tsinghua,wp-488,original,0.7668918967247009,1.7734375,2.3125
Tsinghua,wp-489,original,0.7172130942344666,1.3671875,1.90625
PaLM,wp-489,original,0.6494565010070801,0.93359375,1.4375
Human,wp-489,original,0.907975435256958,2.3125,2.546875
OpenAI,wp-489,original,0.5744186043739319,1.9296875,3.359375
BigScience,wp-489,original,1.050561785697937,2.921875,2.78125
Tsinghua,wp-490,original,0.6954887509346008,1.4453125,2.078125
LLAMA,wp-490,original,0.7626582384109497,1.8828125,2.46875
Human,wp-490,original,0.95652174949646,2.40625,2.515625
OpenAI,wp-490,original,0.8175182342529297,1.75,2.140625
BigScience,wp-490,original,1.0882352590560913,2.890625,2.65625
BigScience,wp-491,original,0.9569377899169922,3.125,3.265625
LLAMA,wp-491,original,0.801075279712677,2.328125,2.90625
Human,wp-491,original,0.9675675630569458,2.796875,2.890625
PaLM,wp-491,original,0.6709956526756287,1.2109375,1.8046875
OpenAI,wp-491,original,0.7991803288459778,3.046875,3.8125
Tsinghua,wp-491,original,0.7295597195625305,1.8125,2.484375
Eleuther-AI,wp-491,original,1.1351351737976074,3.9375,3.46875
Human,wp-492,original,0.929729700088501,2.6875,2.890625
OpenAI,wp-492,original,0.60550457239151,2.0625,3.40625
Eleuther-AI,wp-492,original,1.065573811531067,4.0625,3.8125
Tsinghua,wp-492,original,0.6892856955528259,1.5078125,2.1875
LLAMA,wp-492,original,0.7222222089767456,1.625,2.25
BigScience,wp-492,original,1.0,2.921875,2.921875
LLAMA,wp-493,original,0.7808988690376282,2.171875,2.78125
Human,wp-493,original,1.0287081003189087,3.359375,3.265625
Tsinghua,wp-493,original,0.8632075190544128,2.859375,3.3125
BigScience,wp-493,original,1.0353535413742063,3.203125,3.09375
OpenAI,wp-493,original,0.9438775777816772,2.890625,3.0625
OpenAI,wp-494,original,0.7843137383460999,1.875,2.390625
Tsinghua,wp-494,original,0.7582781314849854,1.7890625,2.359375
Human,wp-494,original,1.0824742317199707,3.28125,3.03125
BigScience,wp-494,original,1.0534759759902954,3.078125,2.921875
LLAMA,wp-494,original,0.7993630766868591,1.9609375,2.453125
Human,wp-495,original,0.929347813129425,2.671875,2.875
