paraphraser,iteration,f1,performance drop from $T^{n-1}$,mean B,var B,ppl,xppl
original,0,0.773474801061008,0%,0.877,0.0259,2.4769915101192197,2.751138852510838
chatgpt,1,0.7507347047822602,2.94%,0.888,0.0103,2.5606221330275227,2.8627967316513763
chatgpt,2,0.7360130363932645,1.96%,0.893,0.0101,2.6050087670727207,2.8991685700442966
chatgpt,3,0.7217125382262997,1.94%,0.899,0.00883,2.655120499352092,2.9357573005368383
dipper,1,0.778544061302682,-0.655%,0.881,0.00621,2.616773307669798,2.9445532649927744
dipper,2,0.7720272658419591,0.837%,0.884,0.0047,2.6747806968063585,3.0048277750180636
dipper,3,0.7730923694779116,-0.138%,0.883,0.00435,2.6946308819544798,3.0341317061054913
dipper(high),1,0.3080844865258558,60.2%,0.945,0.00271,3.3962564633778904,3.5850300871567917
dipper(high),2,0.2531835205992509,17.8%,0.954,0.00385,3.5059829458170646,3.6691668736452314
dipper(high),3,0.2793255131964809,-10.3%,0.959,0.00563,3.593408485368497,3.7448180093930636
dipper(low),1,0.7908997955010225,-2.25%,0.859,0.0157,2.396932348354046,2.7472001445086707
dipper(low),2,0.789714867617108,0.15%,0.859,0.0129,2.4152553315794796,2.771585277052023
dipper(low),3,0.788017263264788,0.215%,0.861,0.0113,2.4427744253504335,2.7996706218388727
palm,1,0.8017162120747778,-3.65%,0.811,0.0199,2.1684793020475723,2.628473286532614
palm,2,0.8089747584917419,-0.905%,0.81,0.0191,2.18190175888683,2.653292438657987
palm,3,0.8106396453451552,-0.206%,0.81,0.0175,2.196727225447155,2.6761950981300813
pegasus(full),1,0.7745149449396959,-0.134%,0.896,0.0129,2.507071258013006,2.750049392615607
pegasus(full),2,0.7557433324531291,2.42%,0.898,0.0107,2.5093262955845095,2.747042390513934
pegasus(full),3,0.740720961281709,1.99%,0.902,0.00999,2.5346642575968152,2.763568316257691
pegasus(slight),1,0.7736800212257894,-0.0265%,0.889,0.0213,2.521729926846098,2.7738862671604045
pegasus(slight),2,0.7740397350993378,-0.0465%,0.896,0.0189,2.546184914645954,2.7876752732117054
pegasus(slight),3,0.7742448330683624,-0.0265%,0.9,0.0171,2.561433119580925,2.795003725614162
