source,paraphraser,iteration,ppl,xppl
BigScience,chatgpt,1,2.8107732027896994,2.787017167381974
BigScience,chatgpt,2,2.8426075268817206,2.8143985215053764
BigScience,chatgpt,3,2.8453125,2.8219926075268815
BigScience,dipper,1,2.94007077991453,3.125968215811966
BigScience,dipper(high),1,3.793636485042735,3.9425080128205128
BigScience,dipper(high),2,3.813484909188034,3.9390024038461537
BigScience,dipper(high),3,3.8615785256410255,3.964142628205128
BigScience,dipper(low),1,2.801582532051282,2.878522302350427
BigScience,dipper(low),2,2.794120592948718,2.9262486645299144
BigScience,dipper(low),3,2.788394764957265,2.94325921474359
BigScience,dipper,2,2.956330128205128,3.171207264957265
BigScience,dipper,3,2.9907852564102564,3.2238915598290596
BigScience,original,0,2.9573818108974357,2.765892094017094
BigScience,palm,1,2.721918589055794,2.699051099785408
BigScience,palm,2,2.6750840053763443,2.6821068548387097
BigScience,palm,3,2.6360719086021507,2.65625
BigScience,pegasus(full),1,2.9900248122317596,2.942470828862661
BigScience,pegasus(full),2,3.042767569742489,3.0257804117381975
BigScience,pegasus(full),3,3.054431833433476,3.0523403969957084
BigScience,pegasus(slight),1,2.985627003205128,2.828342013888889
BigScience,pegasus(slight),2,2.988873864850427,2.8559361645299144
BigScience,pegasus(slight),3,2.9945871728205127,2.8828876201923075
Eleuther-AI,chatgpt,1,2.880593675417661,2.8110456443914082
Eleuther-AI,chatgpt,2,2.927757793764988,2.8610236810551557
Eleuther-AI,chatgpt,3,2.940129206730769,2.8602013221153846
Eleuther-AI,dipper,1,3.112392624407583,3.2689203199052135
Eleuther-AI,dipper(high),1,3.963159063981043,4.0931946090047395
Eleuther-AI,dipper(high),2,3.98046875,4.0989336492890995
Eleuther-AI,dipper(high),3,4.049059537914692,4.1765773104265405
Eleuther-AI,dipper(low),1,2.9264847452606637,2.943590787914692
Eleuther-AI,dipper(low),2,2.918949940758294,3.0025177725118484
Eleuther-AI,dipper(low),3,2.9181538803317535,3.043394549763033
Eleuther-AI,dipper,2,3.137588862559242,3.3515625
Eleuther-AI,dipper,3,3.1413655213270144,3.4091010071090047
Eleuther-AI,original,0,3.282434834123223,2.826551392180095
Eleuther-AI,palm,1,2.763126491646778,2.700757010739857
Eleuther-AI,palm,2,2.6991157074340526,2.6858138489208634
Eleuther-AI,palm,3,2.690692608173077,2.688701923076923
Eleuther-AI,pegasus(full),1,3.144521993483412,3.0235300651658767
Eleuther-AI,pegasus(full),2,3.213205346540285,3.133178132393365
Eleuther-AI,pegasus(full),3,3.248171837985782,3.1803863669905215
Eleuther-AI,pegasus(slight),1,3.2368464899289098,2.9186537322274884
Eleuther-AI,pegasus(slight),2,3.2323709641469196,2.9730542802132702
Eleuther-AI,pegasus(slight),3,3.226497704383886,3.0180409508293837
Human,chatgpt,1,2.3968683932346724,2.5173427589852007
Human,chatgpt,2,2.4289244957537157,2.545166533970276
Human,chatgpt,3,2.446108678343949,2.5539244957537157
Human,dipper,1,2.625640099789916,2.8712578781512605
Human,dipper(high),1,3.735326943277311,3.8944655987394956
Human,dipper(high),2,3.7460280987394956,3.882714023109244
Human,dipper(high),3,3.76749606092437,3.9057904411764706
Human,dipper(low),1,2.38023568802521,2.5720030199579833
Human,dipper(low),2,2.419823398109244,2.6315979516806722
Human,dipper(low),3,2.437598476890756,2.6652113970588234
Human,dipper,2,2.6843979779411766,2.9454766281512605
Human,dipper,3,2.7585674894957983,3.0205816701680672
Human,original,0,2.397501969537815,2.42702862394958
Human,palm,1,2.2289017078488373,2.4002543604651163
Human,palm,2,2.2144782529239766,2.3983918128654973
Human,palm,3,2.193887867647059,2.385202205882353
Human,pegasus(full),1,2.5946628289473685,2.7179276315789473
Human,pegasus(full),2,2.6259580592000002,2.774115953936842
Human,pegasus(full),3,2.6635115131368425,2.8098108552631578
Human,pegasus(slight),1,2.461347820378151,2.5017233455882355
Human,pegasus(slight),2,2.493508731617647,2.5504776129201683
Human,pegasus(slight),3,2.534491530987395,2.602990414915966
LLAMA,chatgpt,1,2.2316431236673773,2.494219749466951
LLAMA,chatgpt,2,2.2931531652360513,2.5228171942060085
LLAMA,chatgpt,3,2.3061963519313307,2.5266899141630903
LLAMA,dipper,1,2.432619252114165,2.8032009778012683
LLAMA,dipper(high),1,3.7342593816067655,3.8996432346723044
LLAMA,dipper(high),2,3.737281976744186,3.859441067653277
LLAMA,dipper(high),3,3.788583509513742,3.896736257928118
LLAMA,dipper(low),1,2.1136776559196617,2.532786072938689
LLAMA,dipper(low),2,2.1796957584566594,2.5898189746300213
LLAMA,dipper(low),3,2.217296511627907,2.6265030391120505
LLAMA,dipper,2,2.533876189217759,2.883291490486258
LLAMA,dipper,3,2.6331098044397465,2.978924418604651
LLAMA,original,0,2.0072591834038054,2.3953323202959833
LLAMA,palm,1,1.9924956689765458,2.4244182180851066
LLAMA,palm,2,1.9909823803191489,2.4046708776595747
LLAMA,palm,3,1.9826889690170941,2.400073450854701
LLAMA,pegasus(full),1,2.2610220939490446,2.5998042728237793
LLAMA,pegasus(full),2,2.333271131889597,2.6599198845435246
LLAMA,pegasus(full),3,2.3937267781316347,2.72104730626327
LLAMA,pegasus(slight),1,2.086540367336152,2.454578488372093
LLAMA,pegasus(slight),2,2.1531530787526427,2.5092990221987317
LLAMA,pegasus(slight),3,2.190844674947146,2.5370804704016914
OpenAI,chatgpt,1,2.475213219616205,2.7825493070362475
OpenAI,chatgpt,2,2.4907549307036247,2.795509061833689
OpenAI,chatgpt,3,2.5474258814102564,2.8179086538461537
OpenAI,dipper,1,2.783186712184874,3.2250525210084033
OpenAI,dipper(high),1,3.8785526315789474,4.021041228991597
OpenAI,dipper(high),2,3.986311712184874,4.06312368697479
OpenAI,dipper(high),3,4.001772584033613,4.087775735294118
OpenAI,dipper(low),1,2.401687237394958,2.9784663865546217
OpenAI,dipper(low),2,2.464564732142857,3.0128348214285716
OpenAI,dipper(low),3,2.49422268907563,3.040670955882353
OpenAI,dipper,2,2.8895417542016806,3.2848936449579833
OpenAI,dipper,3,2.974330357142857,3.3775275735294117
OpenAI,original,0,2.3017434210526315,2.730296052631579
OpenAI,palm,1,2.2089676816239314,2.6874833066239314
OpenAI,palm,2,2.2133556547619047,2.6766943993506493
OpenAI,palm,3,2.1997598755411256,2.6621516504329006
OpenAI,pegasus(full),1,2.5165112920168067,2.9442210477941178
OpenAI,pegasus(full),2,2.638421579579832,3.0527466846218485
OpenAI,pegasus(full),3,2.6995572643067227,3.1067612591806726
OpenAI,pegasus(slight),1,2.389623818277311,2.8090533088235294
OpenAI,pegasus(slight),2,2.4451483718487395,2.860384388130252
OpenAI,pegasus(slight),3,2.4920644038865545,2.9038044905462184
PaLM,chatgpt,1,2.038316761363636,2.423721590909091
PaLM,chatgpt,2,2.0826704545454544,2.448739346590909
PaLM,chatgpt,3,2.1146782460136673,2.464656890660592
PaLM,dipper,1,2.285605953724605,2.752468961625282
PaLM,dipper(high),1,3.8083380361173815,3.9644822234762978
PaLM,dipper(high),2,3.8144751693002257,3.9237796275395036
PaLM,dipper(high),3,3.8611032731376973,3.9493862866817158
PaLM,dipper(low),1,1.8131348758465011,2.4098123589164784
