paraphraser,iteration,f1,performance drop from $T^{n-1}$,mean B,var B,ppl,xppl
original,0,0.725635103926097,0%,0.92,0.0272,2.387394203207313,2.567691789975209
chatgpt,1,0.5995503372470647,17.4%,0.93,0.00927,2.4699739094746715,2.6470938868042526
chatgpt,2,0.5638242894056847,5.96%,0.936,0.00837,2.511552213949843,2.6756122648902823
chatgpt,3,0.5269302202175643,6.54%,0.941,0.00832,2.532393053375196,2.6845368916797487
dipper,1,0.7216045345541748,0.555%,0.889,0.00562,2.6797443753872368,3.00682988692689
dipper,2,0.7046654929577465,2.35%,0.895,0.00468,2.7630680278035937,3.0854340923172243
dipper,3,0.700858463570328,0.54%,0.895,0.00428,2.8356035083643123,3.164960405049566
dipper(high),1,0.2251993620414673,69%,0.961,0.00382,3.81525749535172,3.9685079770755887
dipper(high),2,0.2258166825245797,-0.274%,0.973,0.00859,3.8511677580595163,3.9604824969021064
dipper(high),3,0.3047676523838262,-35%,0.973,0.00963,3.8917818695786863,3.9996321251548945
dipper(low),1,0.7660944206008584,-5.58%,0.873,0.0124,2.390560863925031,2.7275511636462206
dipper(low),2,0.759871931696905,0.812%,0.872,0.0103,2.4374237627788102,2.7837634080700124
dipper(low),3,0.7637894736842106,-0.516%,0.872,0.0091,2.46680292557311,2.8199857690520447
palm,1,0.7445772465692785,-2.61%,0.878,0.018,2.2506004604113246,2.546684389232271
palm,2,0.7504409171075838,-0.788%,0.876,0.016,2.2378532661417836,2.539076537487749
palm,3,0.7521968365553603,-0.234%,0.874,0.0154,2.227572158184021,2.533597075556647
pegasus(full),1,0.7097219030108021,2.19%,0.913,0.013,2.5629723639770257,2.788403979742316
pegasus(full),2,0.6935112747353889,2.28%,0.913,0.0116,2.6467799814622786,2.876010822524061
pegasus(full),3,0.6878037491321454,0.823%,0.913,0.0114,2.6903658668177584,2.919827280928283
pegasus(slight),1,0.7208496882936966,0.659%,0.919,0.0214,2.452165379104709,2.642958100991326
pegasus(slight),2,0.7135260115606936,1.02%,0.919,0.0188,2.493130784346344,2.6906039440055762
pegasus(slight),3,0.7099466728495247,0.502%,0.919,0.0167,2.527318942651797,2.7308450956474597
