source,paraphraser,iteration,ppl,xppl
BigScience,chatgpt,1,2.7414336622807016,2.8298040021929824
BigScience,chatgpt,2,2.81140350877193,2.881853070175439
BigScience,chatgpt,3,2.798179945054945,2.880254120879121
BigScience,dipper,1,2.9339783916849016,3.1510530634573306
BigScience,dipper(high),1,3.664284737417943,3.8087732494529543
BigScience,dipper(high),2,3.7245965536105032,3.846074945295405
BigScience,dipper(high),3,3.7868572210065645,3.8944201312910285
BigScience,dipper(low),1,2.870179157549234,2.977878829321663
BigScience,dipper(low),2,2.822551969365427,2.974664934354486
BigScience,dipper(low),3,2.814380470459519,2.9963416301969366
BigScience,dipper,2,2.9448851203501096,3.196321115973742
BigScience,dipper,3,2.9530908096280086,3.2390248905908097
BigScience,original,0,3.159292943107221,3.0510462253829322
BigScience,palm,1,2.6000103476821192,2.8172771799116996
BigScience,palm,2,2.579670138888889,2.826111111111111
BigScience,palm,3,2.5758680555555555,2.8345659722222223
BigScience,pegasus(full),1,2.9486802516411377,3.011351203501094
BigScience,pegasus(full),2,2.930849972647702,3.0241213074398248
BigScience,pegasus(full),3,2.9179431072210065,3.0169156865426694
BigScience,pegasus(slight),1,3.1407275711159737,3.0591493435448576
BigScience,pegasus(slight),2,3.1232221006564553,3.0603801969365425
BigScience,pegasus(slight),3,3.1043661105032823,3.0610810995623634
Eleuther-AI,chatgpt,1,2.8268868582589284,2.9304896763392856
Eleuther-AI,chatgpt,2,2.898979306487696,2.9741680648769573
Eleuther-AI,chatgpt,3,2.900604725950783,2.9884647651006713
Eleuther-AI,dipper,1,3.0835537305122496,3.2921074610244987
Eleuther-AI,dipper(high),1,3.7696269487750556,3.9285565144766146
Eleuther-AI,dipper(high),2,3.900786469933185,3.9744919265033407
Eleuther-AI,dipper(high),3,3.944042316258352,4.059576837416481
Eleuther-AI,dipper(low),1,3.0220977171492205,3.08508491091314
Eleuther-AI,dipper(low),2,2.9525334075723833,3.098065144766147
Eleuther-AI,dipper(low),3,2.9327672605790647,3.111497772828508
Eleuther-AI,dipper,2,3.0969863585746102,3.3598969933184857
Eleuther-AI,dipper,3,3.116230512249443,3.3995684855233854
Eleuther-AI,original,0,3.5278744432071267,3.1846812360801784
Eleuther-AI,palm,1,2.69105591367713,2.9087023542600896
Eleuther-AI,palm,2,2.6960306894618835,2.938410874439462
Eleuther-AI,palm,3,2.6799852858744395,2.9446293441704037
Eleuther-AI,pegasus(full),1,3.18268026169265,3.1466888223830733
Eleuther-AI,pegasus(full),2,3.1762118944988864,3.1958214434743875
Eleuther-AI,pegasus(full),3,3.160191049576837,3.187482600222717
Eleuther-AI,pegasus(slight),1,3.478093680400891,3.1827237611358576
Eleuther-AI,pegasus(slight),2,3.4257290506681515,3.1884482878619154
Eleuther-AI,pegasus(slight),3,3.4037009326280625,3.2014111219376393
Human,chatgpt,1,2.653332270408163,2.8733099489795917
Human,chatgpt,2,2.7207511526639343,2.924404456967213
Human,chatgpt,3,2.7342149077868854,2.931736680327869
Human,dipper,1,2.9849000763747453,3.2681708248472505
Human,dipper(high),1,3.7758719450101834,3.9251209266802443
Human,dipper(high),2,3.804989816700611,3.9396003054989817
Human,dipper(high),3,3.8625891038696536,3.9757828411405294
Human,dipper(low),1,2.809317718940937,3.054035132382892
Human,dipper(low),2,2.772976069246436,3.0696919551934827
Human,dipper(low),3,2.766786532586558,3.09123599796334
Human,dipper,2,3.032316064154786,3.3456911914460283
Human,dipper,3,3.063900203665988,3.3844513747454177
Human,original,0,3.027224414460285,3.0302316700610996
Human,palm,1,2.464980107802875,2.839964065708419
Human,palm,2,2.492380401234568,2.868602109053498
